Date,Margin,Short
2020-07-24,6846849.0,744209.0
2020-07-27,6887426.0,703353.0
2020-07-28,6859143.0,708195.0
2020-07-29,6911028.0,726762.0
2020-07-30,6978935.0,719672.0
2020-07-31,7031301.0,711010.0
2020-08-03,7075458.0,703701.0
2020-08-04,7106898.0,690320.0
2020-08-05,7176845.0,699080.0
2020-08-06,7189515.0,712536.0
2020-08-07,7206620.0,701571.0
2020-08-10,7240936.0,697397.0
2020-08-11,7194768.0,694571.0
2020-08-12,7212501.0,688810.0
2020-08-13,7207635.0,673988.0
2020-08-14,7241246.0,680235.0
2020-08-17,7294443.0,683645.0
2020-08-18,7298284.0,685825.0
2020-08-19,7311886.0,686890.0
2020-08-20,7160134.0,626071.0
2020-08-21,7192377.0,603175.0
2020-08-24,7230638.0,569903.0
2020-08-25,7293768.0,565219.0
2020-08-26,7343784.0,547878.0
2020-08-27,7436411.0,554311.0
2020-08-28,7408080.0,537648.0
2020-08-31,7501970.0,552555.0
2020-09-01,7502332.0,555676.0
2020-09-02,7567094.0,558881.0
2020-09-03,7570902.0,578455.0
2020-09-04,7566247.0,561108.0
2020-09-07,7643884.0,558634.0
2020-09-08,7663350.0,556330.0
2020-09-09,7704724.0,570434.0
2020-09-10,7737734.0,588650.0
2020-09-11,7624070.0,587231.0
2020-09-14,7617494.0,583009.0
2020-09-15,7615614.0,610358.0
2020-09-16,7622487.0,615252.0
2020-09-17,7658950.0,643559.0
2020-09-18,7675596.0,670105.0
2020-09-21,7667912.0,743148.0
2020-09-22,7627965.0,751398.0
2020-09-23,7659185.0,759120.0
2020-09-24,7546838.0,754533.0
2020-09-25,7425188.0,752009.0
2020-09-28,7428701.0,775930.0
2020-09-29,7422456.0,774852.0
2020-09-30,7417307.0,773853.0
2020-10-05,7443771.0,789010.0
2020-10-06,7445371.0,805796.0
2020-10-07,7456711.0,821903.0
2020-10-08,7472756.0,826945.0
2020-10-12,7415589.0,823518.0
2020-10-13,7449744.0,842825.0
2020-10-14,7491546.0,859318.0
2020-10-15,7513372.0,867243.0
2020-10-16,7489315.0,867347.0
2020-10-19,7464182.0,883101.0
2020-10-20,7487013.0,886037.0
2020-10-21,7534612.0,888304.0
2020-10-22,7535548.0,903218.0
2020-10-23,7576183.0,908064.0
2020-10-26,7632393.0,917471.0
2020-10-27,7661092.0,923089.0
2020-10-28,7624129.0,918680.0
2020-10-29,7653156.0,922320.0
2020-10-30,7630289.0,902498.0
2020-11-02,7626506.0,886439.0
2020-11-03,7619044.0,887616.0
2020-11-04,7609269.0,893568.0
2020-11-05,7580786.0,921697.0
2020-11-06,7619379.0,942059.0
2020-11-09,7610374.0,938240.0
2020-11-10,7600770.0,927271.0
2020-11-11,7643473.0,929965.0
2020-11-12,7656595.0,943113.0
2020-11-13,7701632.0,941720.0
2020-11-16,7719724.0,947177.0
2020-11-17,7726083.0,966619.0
2020-11-18,7784942.0,985243.0
2020-11-19,7814387.0,1001172.0
2020-11-20,7817771.0,1002866.0
2020-11-23,7855561.0,1013976.0
2020-11-24,7831485.0,1014336.0
2020-11-25,7866315.0,1025095.0
2020-11-26,7942795.0,1045742.0
2020-11-27,7947183.0,1060082.0
2020-11-30,7992706.0,1067921.0
2020-12-01,8090660.0,1073280.0
2020-12-02,8097758.0,1093649.0
2020-12-03,8105470.0,1109224.0
2020-12-04,8278074.0,1121286.0
2020-12-07,8231359.0,1125974.0
2020-12-08,8272720.0,1134096.0
2020-12-09,8326924.0,1154844.0
2020-12-10,8285194.0,1145599.0
2020-12-11,8235042.0,1127145.0
2020-12-14,8331046.0,1151017.0
2020-12-15,8362260.0,1105537.0
2020-12-16,8419225.0,1126628.0
2020-12-17,8447608.0,1122556.0
2020-12-18,8522011.0,1133690.0
2020-12-21,8605154.0,1150563.0
2020-12-22,8563783.0,1133403.0
2020-12-23,8607382.0,1144545.0
2020-12-24,8682118.0,1158543.0
2020-12-25,8745031.0,1163281.0
2020-12-28,8868470.0,1197623.0
2020-12-29,8777492.0,1185802.0
2020-12-30,8842775.0,1176219.0
2020-12-31,8832871.0,1164523.0
2021-01-04,8870768.0,1167692.0
2021-01-05,8879514.0,1147923.0
2021-01-06,8727450.0,1122569.0
2021-01-07,8758219.0,1112874.0
2021-01-08,8801354.0,1103821.0
2021-01-11,8881749.0,1109062.0
2021-01-12,8737782.0,1090494.0
2021-01-13,8813928.0,1086054.0
2021-01-14,8810319.0,1084944.0
